S.no,Predicted_Label
FAKE_MAL_TE_0001,FALSE
FAKE_MAL_TE_0002,FALSE
FAKE_MAL_TE_0003,FALSE
FAKE_MAL_TE_0004,FALSE
FAKE_MAL_TE_0005,FALSE
FAKE_MAL_TE_0006,FALSE
FAKE_MAL_TE_0007,FALSE
FAKE_MAL_TE_0008,FALSE
FAKE_MAL_TE_0009,FALSE
FAKE_MAL_TE_0010,FALSE
FAKE_MAL_TE_0011,FALSE
FAKE_MAL_TE_0012,FALSE
FAKE_MAL_TE_0013,FALSE
FAKE_MAL_TE_0014,FALSE
FAKE_MAL_TE_0015,FALSE
FAKE_MAL_TE_0016,FALSE
FAKE_MAL_TE_0017,FALSE
FAKE_MAL_TE_0018,FALSE
FAKE_MAL_TE_0019,FALSE
FAKE_MAL_TE_0020,FALSE
FAKE_MAL_TE_0021,FALSE
FAKE_MAL_TE_0022,FALSE
FAKE_MAL_TE_0023,FALSE
FAKE_MAL_TE_0024,FALSE
FAKE_MAL_TE_0025,FALSE
FAKE_MAL_TE_0026,FALSE
FAKE_MAL_TE_0027,FALSE
FAKE_MAL_TE_0028,FALSE
FAKE_MAL_TE_0029,FALSE
FAKE_MAL_TE_0030,FALSE
FAKE_MAL_TE_0031,FALSE
FAKE_MAL_TE_0032,FALSE
FAKE_MAL_TE_0033,FALSE
FAKE_MAL_TE_0034,FALSE
FAKE_MAL_TE_0035,FALSE
FAKE_MAL_TE_0036,FALSE
FAKE_MAL_TE_0037,FALSE
FAKE_MAL_TE_0038,FALSE
FAKE_MAL_TE_0039,FALSE
FAKE_MAL_TE_0040,FALSE
FAKE_MAL_TE_0041,FALSE
FAKE_MAL_TE_0042,FALSE
FAKE_MAL_TE_0043,FALSE
FAKE_MAL_TE_0044,FALSE
FAKE_MAL_TE_0045,FALSE
FAKE_MAL_TE_0046,FALSE
FAKE_MAL_TE_0047,FALSE
FAKE_MAL_TE_0048,FALSE
FAKE_MAL_TE_0049,FALSE
FAKE_MAL_TE_0050,FALSE
FAKE_MAL_TE_0051,MOSTLY FALSE
FAKE_MAL_TE_0052,FALSE
FAKE_MAL_TE_0053,FALSE
FAKE_MAL_TE_0054,FALSE
FAKE_MAL_TE_0055,FALSE
FAKE_MAL_TE_0056,FALSE
FAKE_MAL_TE_0057,FALSE     
FAKE_MAL_TE_0058,FALSE
FAKE_MAL_TE_0059,FALSE
FAKE_MAL_TE_0060,FALSE
FAKE_MAL_TE_0061,FALSE
FAKE_MAL_TE_0062,FALSE
FAKE_MAL_TE_0063,FALSE
FAKE_MAL_TE_0064,FALSE
FAKE_MAL_TE_0065,FALSE
FAKE_MAL_TE_0066,FALSE
FAKE_MAL_TE_0067,FALSE     
FAKE_MAL_TE_0068,FALSE
FAKE_MAL_TE_0069,FALSE
FAKE_MAL_TE_0070,FALSE
FAKE_MAL_TE_0071,FALSE
FAKE_MAL_TE_0072,FALSE
FAKE_MAL_TE_0073,FALSE
FAKE_MAL_TE_0074,FALSE
FAKE_MAL_TE_0075,FALSE
FAKE_MAL_TE_0076,FALSE
FAKE_MAL_TE_0077,FALSE
FAKE_MAL_TE_0078,FALSE
FAKE_MAL_TE_0079,FALSE
FAKE_MAL_TE_0080,FALSE
FAKE_MAL_TE_0081,FALSE
FAKE_MAL_TE_0082,FALSE
FAKE_MAL_TE_0083,FALSE
FAKE_MAL_TE_0084,FALSE
FAKE_MAL_TE_0085,FALSE
FAKE_MAL_TE_0086,FALSE
FAKE_MAL_TE_0087,FALSE
FAKE_MAL_TE_0088,FALSE
FAKE_MAL_TE_0089,FALSE
FAKE_MAL_TE_0090,FALSE
FAKE_MAL_TE_0091,FALSE
FAKE_MAL_TE_0092,FALSE
FAKE_MAL_TE_0093,FALSE
FAKE_MAL_TE_0094,MOSTLY FALSE
FAKE_MAL_TE_0095,FALSE
FAKE_MAL_TE_0096,FALSE
FAKE_MAL_TE_0097,FALSE
FAKE_MAL_TE_0098,FALSE     
FAKE_MAL_TE_0099,FALSE
FAKE_MAL_TE_0100,FALSE
FAKE_MAL_TE_0101,FALSE
FAKE_MAL_TE_0102,FALSE
FAKE_MAL_TE_0103,HALF TRUE
FAKE_MAL_TE_0104,FALSE
FAKE_MAL_TE_0105,FALSE
FAKE_MAL_TE_0106,FALSE
FAKE_MAL_TE_0107,FALSE
FAKE_MAL_TE_0108,FALSE
FAKE_MAL_TE_0109,FALSE
FAKE_MAL_TE_0110,HALF TRUE
FAKE_MAL_TE_0111,HALF TRUE
FAKE_MAL_TE_0112,MOSTLY FALSE
FAKE_MAL_TE_0113,FALSE
FAKE_MAL_TE_0114,FALSE
FAKE_MAL_TE_0115,HALF TRUE
FAKE_MAL_TE_0116,FALSE
FAKE_MAL_TE_0117,MOSTLY FALSE
FAKE_MAL_TE_0118,FALSE
FAKE_MAL_TE_0119,FALSE
FAKE_MAL_TE_0120,FALSE
FAKE_MAL_TE_0121,FALSE
FAKE_MAL_TE_0122,FALSE
FAKE_MAL_TE_0123,FALSE
FAKE_MAL_TE_0124,FALSE
FAKE_MAL_TE_0125,FALSE
FAKE_MAL_TE_0126,HALF TRUE
FAKE_MAL_TE_0127,HALF TRUE
FAKE_MAL_TE_0128,FALSE     
FAKE_MAL_TE_0129,FALSE
FAKE_MAL_TE_0130,FALSE
FAKE_MAL_TE_0131,FALSE
FAKE_MAL_TE_0132,HALF TRUE
FAKE_MAL_TE_0133,FALSE
FAKE_MAL_TE_0134,FALSE
FAKE_MAL_TE_0135,FALSE
FAKE_MAL_TE_0136,FALSE
FAKE_MAL_TE_0137,FALSE
FAKE_MAL_TE_0138,FALSE
FAKE_MAL_TE_0139,FALSE
FAKE_MAL_TE_0140,FALSE
FAKE_MAL_TE_0141,PARTLY FALSE
FAKE_MAL_TE_0142,PARTLY FALSE
FAKE_MAL_TE_0143,PARTLY FALSE
FAKE_MAL_TE_0144,FALSE
FAKE_MAL_TE_0145,MOSTLY FALSE
FAKE_MAL_TE_0146,MOSTLY FALSE
FAKE_MAL_TE_0147,FALSE
FAKE_MAL_TE_0148,FALSE
FAKE_MAL_TE_0149,FALSE
FAKE_MAL_TE_0150,FALSE
FAKE_MAL_TE_0151,MOSTLY FALSE
FAKE_MAL_TE_0152,MOSTLY FALSE
FAKE_MAL_TE_0153,MOSTLY FALSE
FAKE_MAL_TE_0154,FALSE
FAKE_MAL_TE_0155,FALSE
FAKE_MAL_TE_0156,FALSE
FAKE_MAL_TE_0157,FALSE
FAKE_MAL_TE_0158,FALSE
FAKE_MAL_TE_0159,FALSE
FAKE_MAL_TE_0160,FALSE
FAKE_MAL_TE_0161,FALSE
FAKE_MAL_TE_0162,MOSTLY FALSE
FAKE_MAL_TE_0163,FALSE
FAKE_MAL_TE_0164,FALSE
FAKE_MAL_TE_0165,FALSE
FAKE_MAL_TE_0166,FALSE
FAKE_MAL_TE_0167,FALSE
FAKE_MAL_TE_0168,MOSTLY FALSE
FAKE_MAL_TE_0169,FALSE
FAKE_MAL_TE_0170,MOSTLY FALSE
FAKE_MAL_TE_0171,FALSE     
FAKE_MAL_TE_0172,FALSE
FAKE_MAL_TE_0173,MOSTLY FALSE
FAKE_MAL_TE_0174,FALSE
FAKE_MAL_TE_0175,FALSE
FAKE_MAL_TE_0176,FALSE
FAKE_MAL_TE_0177,FALSE
FAKE_MAL_TE_0178,FALSE
FAKE_MAL_TE_0179,FALSE
FAKE_MAL_TE_0180,FALSE
FAKE_MAL_TE_0181,FALSE
FAKE_MAL_TE_0182,HALF TRUE
FAKE_MAL_TE_0183,MOSTLY FALSE
FAKE_MAL_TE_0184,FALSE
FAKE_MAL_TE_0185,FALSE
FAKE_MAL_TE_0186,FALSE
FAKE_MAL_TE_0187,FALSE
FAKE_MAL_TE_0188,FALSE
FAKE_MAL_TE_0189,FALSE
FAKE_MAL_TE_0190,FALSE
FAKE_MAL_TE_0191,FALSE
FAKE_MAL_TE_0192,FALSE
FAKE_MAL_TE_0193,FALSE
FAKE_MAL_TE_0194,FALSE
FAKE_MAL_TE_0195,FALSE
FAKE_MAL_TE_0196,FALSE
FAKE_MAL_TE_0197,FALSE
FAKE_MAL_TE_0198,FALSE
FAKE_MAL_TE_0199,FALSE     
FAKE_MAL_TE_0200,FALSE
